cohort,stored_year,rows,original_positive_rows,clock_reference_hits,utc_hypothesis_hits,clock_changed,clock_0_to_1,clock_1_to_0,reference_vs_original,utc_hypothesis_vs_original,missing_peak_windows,only_missing_peak_support,end_conflict_windows,utc_year_changed
baseline_manifest,2010,3306,29,29,29,0,0,0,0,0,0,0,0,0
baseline_manifest,2011,11142,404,404,404,0,0,0,0,0,0,0,0,0
baseline_manifest,2012,10815,305,305,305,0,0,0,0,0,0,0,0,0
baseline_manifest,2013,13066,492,492,492,0,0,0,0,0,0,0,0,0
baseline_manifest,2014,11627,629,629,629,0,0,0,0,0,0,0,0,0
baseline_manifest,2015,11236,531,531,531,0,0,0,0,0,0,0,0,0
baseline_manifest,2016,6818,8,8,8,0,0,0,0,0,0,0,0,0
baseline_manifest,ALL,68010,2398,2398,2398,0,0,0,0,0,0,0,0,0
curated_master,2010,3316,29,29,29,0,0,0,0,0,0,0,0,0
curated_master,2011,11277,412,412,412,0,0,0,0,0,0,0,0,0
curated_master,2012,10855,305,305,305,0,0,0,0,0,0,0,0,0
curated_master,2013,13333,500,500,500,0,0,0,0,0,0,0,0,0
curated_master,2014,11653,629,629,629,0,0,0,0,0,0,0,0,0
curated_master,2015,11259,531,531,531,0,0,0,0,0,0,0,0,0
curated_master,2016,6885,8,8,8,0,0,0,0,0,0,0,0,0
curated_master,2017,3462,86,86,86,0,0,0,0,0,0,0,0,0
curated_master,2018,1711,0,0,0,0,0,0,0,0,0,0,0,0
curated_master,2019,1058,0,0,0,0,0,0,0,0,0,0,0,0
curated_master,2020,2089,0,0,0,0,0,0,0,0,0,0,0,0
curated_master,2021,5828,144,144,144,0,0,0,0,0,0,0,0,0
curated_master,2022,11534,131,131,131,0,0,0,0,0,0,0,0,0
curated_master,2023,14677,318,318,318,0,0,0,0,0,0,0,0,1
curated_master,2024,14732,1543,1543,1542,1,0,1,0,1,0,0,27,0
curated_master,2025,14774,820,820,820,0,0,0,0,0,0,0,0,0
curated_master,2026,3201,178,178,178,0,0,0,0,0,0,0,0,0
curated_master,ALL,141644,5634,5634,5633,1,0,1,0,1,0,0,27,1
extension,2025,14774,820,820,820,0,0,0,0,0,0,0,0,0
extension,2026,3201,178,178,178,0,0,0,0,0,0,0,0,0
extension,ALL,17975,998,998,998,0,0,0,0,0,0,0,0,0
