stored_year,expected_targets,listed_objects,exact_nonempty,not_found,zero_byte,ambiguous_ids,alternate_paths,other_objects,baseline_targets,baseline_exact_nonempty
2010,3316,3306,3306,10,0,0,0,0,3306,3306
2011,11277,11142,11142,135,0,0,0,0,11142,11142
2012,10855,10815,10815,40,0,0,0,0,10815,10815
2013,13333,13066,13066,267,0,0,0,0,13066,13066
2014,11653,11627,11627,26,0,0,0,0,11627,11627
2015,11259,11236,11236,23,0,0,0,0,11236,11236
2016,6885,6818,6818,67,0,0,0,0,6818,6818
2017,3462,3444,3444,18,0,0,0,0,0,0
2018,1711,1711,1711,0,0,0,0,0,0,0
2019,1058,1057,1057,1,0,0,0,0,0,0
2020,2089,2089,2089,0,0,0,0,0,0,0
2021,5828,5797,5797,31,0,0,0,0,0,0
2022,11534,11506,11506,28,0,0,0,0,0,0
2023,14677,14308,14308,369,0,0,0,0,0,0
2024,14732,14720,14720,12,0,0,0,0,0,0
2025,14774,12133,12133,2641,0,0,0,0,0,0
2026,3201,2939,2939,262,0,0,0,0,0,0
