role,stored_year,targets,nominal_histories,retained,positive,negative
cycle24_calibration_holdout,2010,270,223,223,0,223
cycle24_calibration_holdout,2011,853,728,728,63,665
cycle24_calibration_holdout,2012,992,883,883,0,883
cycle24_calibration_holdout,2013,1375,1144,1144,27,1117
cycle24_calibration_holdout,2014,1100,939,939,25,914
cycle24_calibration_holdout,2015,1358,1209,1209,9,1200
cycle24_calibration_holdout,2016,678,570,570,0,570
cycle24_calibration_holdout,2017,424,347,347,9,338
cycle24_calibration_holdout,2018,217,160,160,0,160
cycle24_calibration_holdout,2019,62,50,50,0,50
cycle24_final_refit_pool,2010,2723,2350,2350,0,2350
cycle24_final_refit_pool,2011,9143,8143,8143,243,7900
cycle24_final_refit_pool,2012,8698,7503,7503,213,7290
cycle24_final_refit_pool,2013,10416,9106,9106,366,8740
cycle24_final_refit_pool,2014,9464,8240,8240,456,7784
cycle24_final_refit_pool,2015,8881,7726,7726,414,7312
cycle24_final_refit_pool,2016,5531,4722,4722,8,4714
cycle24_final_refit_pool,2017,2616,2292,2292,59,2233
cycle24_final_refit_pool,2018,1484,1260,1260,0,1260
cycle24_final_refit_pool,2019,911,813,813,0,813
cycle24_no_structural_candidates,2010,3,0,0,0,0
cycle24_no_structural_candidates,2011,2,0,0,0,0
cycle24_no_structural_candidates,2012,1,0,0,0,0
cycle24_no_structural_candidates,2013,128,0,0,0,0
cycle24_no_structural_candidates,2016,50,0,0,0,0
cycle24_no_structural_candidates,2017,4,0,0,0,0
cycle24_threshold_holdout,2010,320,272,272,23,249
cycle24_threshold_holdout,2011,1279,1103,1103,61,1042
cycle24_threshold_holdout,2012,1164,973,973,20,953
cycle24_threshold_holdout,2013,1414,1264,1264,37,1227
cycle24_threshold_holdout,2014,1089,942,942,22,920
cycle24_threshold_holdout,2015,1020,860,860,39,821
cycle24_threshold_holdout,2016,626,558,558,0,558
cycle24_threshold_holdout,2017,418,338,338,0,338
cycle24_threshold_holdout,2018,10,7,7,0,7
cycle25_early_diagnostic,2019,85,79,79,0,79
cycle25_early_diagnostic,2020,2089,1850,1838,0,1838
independent_cycle25_test,2021,5828,5104,5104,126,4978
independent_cycle25_test,2022,11534,9999,9999,119,9880
independent_cycle25_test,2023,14677,12392,12392,278,12114
independent_cycle25_test,2024,14732,12554,12553,1316,11237
independent_cycle25_test,2025,14774,9310,9281,512,8769
supplementary_2026,2026,3201,2204,2086,135,1951
