stored_year,object_status,original_label,rows
2010,EXACT_NONEMPTY_OBJECT,0,3277
2010,EXACT_NONEMPTY_OBJECT,1,29
2010,NOT_FOUND_IN_AUDITED_PREFIX,0,10
2011,EXACT_NONEMPTY_OBJECT,0,10738
2011,EXACT_NONEMPTY_OBJECT,1,404
2011,NOT_FOUND_IN_AUDITED_PREFIX,0,127
2011,NOT_FOUND_IN_AUDITED_PREFIX,1,8
2012,EXACT_NONEMPTY_OBJECT,0,10510
2012,EXACT_NONEMPTY_OBJECT,1,305
2012,NOT_FOUND_IN_AUDITED_PREFIX,0,40
2013,EXACT_NONEMPTY_OBJECT,0,12574
2013,EXACT_NONEMPTY_OBJECT,1,492
2013,NOT_FOUND_IN_AUDITED_PREFIX,0,259
2013,NOT_FOUND_IN_AUDITED_PREFIX,1,8
2014,EXACT_NONEMPTY_OBJECT,0,10998
2014,EXACT_NONEMPTY_OBJECT,1,629
2014,NOT_FOUND_IN_AUDITED_PREFIX,0,26
2015,EXACT_NONEMPTY_OBJECT,0,10705
2015,EXACT_NONEMPTY_OBJECT,1,531
2015,NOT_FOUND_IN_AUDITED_PREFIX,0,23
2016,EXACT_NONEMPTY_OBJECT,0,6810
2016,EXACT_NONEMPTY_OBJECT,1,8
2016,NOT_FOUND_IN_AUDITED_PREFIX,0,67
2017,EXACT_NONEMPTY_OBJECT,0,3358
2017,EXACT_NONEMPTY_OBJECT,1,86
2017,NOT_FOUND_IN_AUDITED_PREFIX,0,18
2018,EXACT_NONEMPTY_OBJECT,0,1711
2019,EXACT_NONEMPTY_OBJECT,0,1057
2019,NOT_FOUND_IN_AUDITED_PREFIX,0,1
2020,EXACT_NONEMPTY_OBJECT,0,2089
2021,EXACT_NONEMPTY_OBJECT,0,5653
2021,EXACT_NONEMPTY_OBJECT,1,144
2021,NOT_FOUND_IN_AUDITED_PREFIX,0,31
2022,EXACT_NONEMPTY_OBJECT,0,11375
2022,EXACT_NONEMPTY_OBJECT,1,131
2022,NOT_FOUND_IN_AUDITED_PREFIX,0,28
2023,EXACT_NONEMPTY_OBJECT,0,13990
2023,EXACT_NONEMPTY_OBJECT,1,318
2023,NOT_FOUND_IN_AUDITED_PREFIX,0,369
2024,EXACT_NONEMPTY_OBJECT,0,13177
2024,EXACT_NONEMPTY_OBJECT,1,1543
2024,NOT_FOUND_IN_AUDITED_PREFIX,0,12
2025,EXACT_NONEMPTY_OBJECT,0,11488
2025,EXACT_NONEMPTY_OBJECT,1,645
2025,NOT_FOUND_IN_AUDITED_PREFIX,0,2466
2025,NOT_FOUND_IN_AUDITED_PREFIX,1,175
2026,EXACT_NONEMPTY_OBJECT,0,2761
2026,EXACT_NONEMPTY_OBJECT,1,178
2026,NOT_FOUND_IN_AUDITED_PREFIX,0,262
