model,year,n,positives,prevalence,roc_auc,pr_auc,brier,log_loss,threshold,tn,fp,fn,tp,tss,hss,precision,recall,f1
logistic_regression,2021,4575,124,0.027103825136612022,0.9324852697110471,0.30699732376287553,0.021938689130781928,0.0827822600476738,0.023132347367379614,3790,661,18,106,0.7063327559591538,0.20063359005112827,0.13820078226857888,0.8548387096774194,0.23793490460157127
logistic_regression,2022,9009,113,0.012543012543012544,0.8213903434774305,0.06960153374687669,0.023207323275879117,0.08995375662160528,0.023132347367379614,6659,2237,33,80,0.4565032708346597,0.042951525975855366,0.03452740612861459,0.7079646017699115,0.06584362139917696
logistic_regression,2023,11188,246,0.021987844118698606,0.80344514238416,0.0693105795648456,0.03200770172549152,0.12167589930395427,0.023132347367379614,7274,3668,40,206,0.5021762939252497,0.06117982775267223,0.05317501290655653,0.8373983739837398,0.1
logistic_regression,2024,11374,1160,0.10198698786706524,0.8845291790173054,0.4868226900525579,0.07543848832320056,0.2661864846151592,0.023132347367379614,7161,3053,107,1053,0.6088551548584431,0.2864373414072038,0.2564539698002923,0.9077586206896552,0.39992404101785034
logistic_regression,2025,9287,516,0.05556153763325078,0.8629976870571537,0.19273616017863138,0.05758885188851939,0.2103152277172963,0.023132347367379614,6540,2231,64,452,0.6216080299860622,0.2088544292654669,0.16846813268729036,0.875968992248062,0.28258830884651454
random_forest,2021,4575,124,0.027103825136612022,0.9189100310912371,0.15533116854060977,0.02614525908585135,0.0933463171605947,0.08272120160111422,4183,268,61,63,0.44785332763206526,0.24723823565155334,0.1903323262839879,0.5080645161290323,0.27692307692307694
random_forest,2022,9009,113,0.012543012543012544,0.7996653562106067,0.03889925971075528,0.016487914115110264,0.0772266234750496,0.08272120160111422,8055,841,75,38,0.24174631533711088,0.055620823975077914,0.04323094425483504,0.336283185840708,0.07661290322580645
random_forest,2023,11188,246,0.021987844118698606,0.7978431730944981,0.06414402566473404,0.024748139669751174,0.10971086146355023,0.08272120160111422,9288,1654,103,143,0.4301401476818643,0.1053860745206836,0.07957707289927657,0.5813008130081301,0.13999021047479196
random_forest,2024,11374,1160,0.10198698786706524,0.9051291584235297,0.49762557588106765,0.0748316733537589,0.2505000923383498,0.08272120160111422,9181,1033,335,825,0.6100712004483366,0.4816250386624917,0.44402583423035524,0.7112068965517241,0.5467196819085487
random_forest,2025,9287,516,0.05556153763325078,0.8551303007886277,0.212804586288801,0.0492240529212709,0.18244987160823142,0.08272120160111422,7894,877,259,257,0.39807341671240404,0.254586539837954,0.22663139329805995,0.49806201550387597,0.3115151515151515
