channel_index,channel,variable,ks_statistic,p_value,n_2025,n_2026
0,aia94,raw,0.02589111328124999,5.822157661927455e-239,819200,819200
0,aia94,frozen_preprocessed,0.02589111328124999,5.822157661927455e-239,819200,819200
1,aia131,raw,0.04644042968750001,0.0,819200,819200
1,aia131,frozen_preprocessed,0.04644042968750001,0.0,819200,819200
2,aia171,raw,0.008293457031250007,6.723895335806628e-25,819200,819200
2,aia171,frozen_preprocessed,0.008293457031250007,6.723895335806628e-25,819200,819200
3,aia193,raw,0.02859375000000003,2.281789945818662e-291,819200,819200
3,aia193,frozen_preprocessed,0.02859375000000003,2.281789945818662e-291,819200,819200
4,aia211,raw,0.03875000000000001,0.0,819200,819200
4,aia211,frozen_preprocessed,0.03875000000000001,0.0,819200,819200
5,aia335,raw,0.08196533203125,0.0,819200,819200
5,aia335,frozen_preprocessed,0.08196533203125,0.0,819200,819200
