block_id,status,n_targets,n_saved_this_run,elapsed_minutes,message,n_pending_at_start
2025_HARP12492_20250101_0100_20250101_2348,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12511_20250101_1024_20250101_1648,already_complete,5,0,0.0,all_samples_already_in_gcp,
2025_HARP12511_20250102_0912_20250102_0912,already_complete,1,0,0.0,all_samples_already_in_gcp,
2025_HARP12511_20250103_1324_20250104_1148,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12506_20250104_0900_20250105_0724,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12541_20250105_0712_20250106_0536,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12540_20250105_1512_20250106_1024,already_complete,13,0,0.0,all_samples_already_in_gcp,
2025_HARP12515_20250106_0924_20250106_1724,already_complete,6,0,0.0,all_samples_already_in_gcp,
2025_HARP12532_20250106_2048_20250107_1924,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12515_20250107_2048_20250108_0000,already_complete,3,0,0.0,all_samples_already_in_gcp,
2025_HARP12537_20250108_0700_20250108_1324,already_complete,5,0,0.0,all_samples_already_in_gcp,
2025_HARP12540_20250108_0900_20250108_1212,already_complete,3,0,0.0,all_samples_already_in_gcp,
2025_HARP12532_20250108_2000_20250109_1824,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12532_20250109_2000_20250110_0912,already_complete,9,0,0.0,all_samples_already_in_gcp,
2025_HARP12546_20250110_1936_20250111_0648,already_complete,8,0,0.0,all_samples_already_in_gcp,
2025_HARP12537_20250111_2200_20250112_0424,already_complete,5,0,0.0,all_samples_already_in_gcp,
2025_HARP12572_20250112_1312_20250112_1624,already_complete,3,0,0.0,all_samples_already_in_gcp,
2025_HARP12597_20250114_0124_20250114_0436,already_complete,3,0,0.0,all_samples_already_in_gcp,
2025_HARP12598_20250114_0924_20250115_0612,already_complete,14,0,0.0,all_samples_already_in_gcp,
2025_HARP12597_20250114_1412_20250114_1412,already_complete,1,0,0.0,all_samples_already_in_gcp,
2025_HARP12572_20250115_1012_20250115_1324,already_complete,3,0,0.0,all_samples_already_in_gcp,
2025_HARP12576_20250115_2200_20250116_0424,already_complete,5,0,0.0,all_samples_already_in_gcp,
2025_HARP12576_20250116_1012_20250117_0536,already_complete,13,0,0.0,all_samples_already_in_gcp,
2025_HARP12597_20250116_1900_20250116_1900,already_complete,1,0,0.0,all_samples_already_in_gcp,
2025_HARP12597_20250116_2224_20250117_0624,already_complete,6,0,0.0,all_samples_already_in_gcp,
2025_HARP12597_20250117_1048_20250117_1536,already_complete,4,0,0.0,all_samples_already_in_gcp,
2025_HARP12579_20250118_1000_20250118_1624,already_complete,5,0,0.0,all_samples_already_in_gcp,
2025_HARP12589_20250119_1124_20250120_0500,completed,12,0,0.447,11 sample errors retained for retry,11.0
2025_HARP12589_20250120_1100_20250120_1724,completed,5,0,0.188,5 sample errors retained for retry,5.0
2025_HARP12600_20250121_1136_20250121_1624,already_complete,4,0,0.0,all_samples_already_in_gcp,
