config_name,source_kind,fold_id,test_year,test_regime,train_rows,val_rows,test_rows,test_positives,test_positive_rate,selected_threshold,val_tss,test_roc_auc,test_pr_auc,test_precision,test_recall,test_specificity,test_tss,test_hss,test_tp,test_tn,test_fp,test_fn,diagnostic_test_best_tss
baseline_existing,existing_baseline,test_2013,2013,cycle24_premax_high,14448,10815,13066,492,0.037654982397061075,0.05,0.1854,0.6592,0.0563,0.0548,0.7378,0.5024,0.2402,0.0344,363,6317,6257,129,0.2538
baseline_existing,existing_baseline,test_2014,2014,cycle24_maximum,25263,13066,11627,629,0.05409821966113357,0.0075,0.2093,0.4975,0.0541,0.0552,0.3847,0.6234,0.0081,0.0021,242,6856,4142,387,0.0092
baseline_existing,existing_baseline,test_2015,2015,cycle24_declining,38329,11627,11236,531,0.04725881096475614,0.205,0.2997,0.7477,0.0971,0.0941,0.8682,0.5852,0.4534,0.0923,461,6265,4440,70,0.456
higher_dropout,trained_tuning_config,test_2013,2013,cycle24_premax_high,14448,10815,13066,492,0.037654982397061075,0.0225,0.215,0.6408,0.0974,0.0496,0.6057,0.5455,0.1512,0.0237,298,6859,5715,194,0.2406
higher_dropout,trained_tuning_config,test_2014,2014,cycle24_maximum,25263,13066,11627,629,0.05409821966113357,0.5975,0.2519,0.596,0.0692,0.0731,0.2146,0.8442,0.0589,0.0308,135,9285,1713,494,0.2064
higher_dropout,trained_tuning_config,test_2015,2015,cycle24_declining,38329,11627,11236,531,0.04725881096475614,0.1275,0.2539,0.6563,0.074,0.08,0.7815,0.5541,0.3357,0.065,415,5932,4773,116,0.3409
lower_lr,trained_tuning_config,test_2013,2013,cycle24_premax_high,14448,10815,13066,492,0.037654982397061075,0.025,0.225,0.5988,0.0571,0.0502,0.5203,0.6147,0.135,0.0245,256,7729,4845,236,0.1533
lower_lr,trained_tuning_config,test_2014,2014,cycle24_maximum,25263,13066,11627,629,0.05409821966113357,0.0075,0.2266,0.4667,0.0539,0.0438,0.3514,0.5608,-0.0878,-0.0204,221,6168,4830,408,0.0472
lower_lr,trained_tuning_config,test_2015,2015,cycle24_declining,38329,11627,11236,531,0.04725881096475614,0.2225,0.1891,0.7209,0.0956,0.0807,0.6761,0.6179,0.294,0.0652,359,6615,4090,172,0.3275
reduced_pos_weight,trained_tuning_config,test_2013,2013,cycle24_premax_high,14448,10815,13066,492,0.037654982397061075,0.065,0.1922,0.6542,0.0559,0.0512,0.7967,0.4229,0.2196,0.0275,392,5317,7257,100,0.2315
reduced_pos_weight,trained_tuning_config,test_2014,2014,cycle24_maximum,25263,13066,11627,629,0.05409821966113357,0.01,0.268,0.5082,0.0796,0.0597,0.3641,0.6721,0.0362,0.0106,229,7392,3606,400,0.0801
reduced_pos_weight,trained_tuning_config,test_2015,2015,cycle24_declining,38329,11627,11236,531,0.04725881096475614,0.145,0.2464,0.7362,0.0849,0.0823,0.9284,0.4863,0.4148,0.0705,493,5206,5499,38,0.4248
