config_name,source_kind,fold_id,metrics_file,train_rows,val_rows,test_rows,test_positives,test_negatives,best_epoch,selected_threshold,val_roc_auc,val_pr_auc,val_tss,val_hss,test_roc_auc,test_pr_auc,test_brier_score,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_tss,test_hss,test_tp,test_tn,test_fp,test_fn,diagnostic_test_best_tss
baseline_existing,existing_baseline,test_2013,results/metrics/aia_resnet18_physics_safe_multifold_fullnatural_test_2013_metrics.json,14448,10815,13066,492,12574,1,0.05,0.582,0.0334,0.1854,0.0178,0.6592,0.0563,0.095,0.5113,0.0548,0.7378,0.5024,0.1021,0.2402,0.0344,363,6317,6257,129,0.2538
baseline_existing,existing_baseline,test_2014,results/metrics/aia_resnet18_physics_safe_multifold_fullnatural_test_2014_metrics.json,25263,13066,11627,629,10998,3,0.0075,0.6273,0.0635,0.2093,0.0351,0.4975,0.0541,0.082,0.6105,0.0552,0.3847,0.6234,0.0965,0.0081,0.0021,242,6856,4142,387,0.0092
baseline_existing,existing_baseline,test_2015,results/metrics/aia_resnet18_physics_safe_fold2015_fullnatural_benchmark_fullnatural_physics_safe_metrics.json,38329,11627,11236,531,10705,1,0.205,0.6715,0.0771,0.2997,0.0612,0.7477,0.0971,0.199,0.5986,0.0941,0.8682,0.5852,0.1697,0.4534,0.0923,461,6265,4440,70,0.456
higher_dropout,trained_tuning_config,test_2013,results/metrics/aia_resnet18_hp_sensitivity_higher_dropout_test_2013_metrics.json,14448,10815,13066,492,12574,2,0.0225,0.6094,0.0879,0.215,0.0242,0.6408,0.0974,0.0511,0.5478,0.0496,0.6057,0.5455,0.0916,0.1512,0.0237,298,6859,5715,194,0.2406
higher_dropout,trained_tuning_config,test_2014,results/metrics/aia_resnet18_hp_sensitivity_higher_dropout_test_2014_metrics.json,25263,13066,11627,629,10998,1,0.5975,0.679,0.0892,0.2519,0.1025,0.596,0.0692,0.1499,0.8102,0.0731,0.2146,0.8442,0.109,0.0589,0.0308,135,9285,1713,494,0.2064
higher_dropout,trained_tuning_config,test_2015,results/metrics/aia_resnet18_hp_sensitivity_higher_dropout_test_2015_metrics.json,38329,11627,11236,531,10705,1,0.1275,0.6557,0.0765,0.2539,0.0539,0.6563,0.074,0.1175,0.5649,0.08,0.7815,0.5541,0.1451,0.3357,0.065,415,5932,4773,116,0.3409
lower_lr,trained_tuning_config,test_2013,results/metrics/aia_resnet18_hp_sensitivity_lower_lr_test_2013_metrics.json,14448,10815,13066,492,12574,2,0.025,0.6234,0.0667,0.225,0.027,0.5988,0.0571,0.053,0.6111,0.0502,0.5203,0.6147,0.0915,0.135,0.0245,256,7729,4845,236,0.1533
lower_lr,trained_tuning_config,test_2014,results/metrics/aia_resnet18_hp_sensitivity_lower_lr_test_2014_metrics.json,25263,13066,11627,629,10998,2,0.0075,0.6232,0.0741,0.2266,0.0313,0.4667,0.0539,0.0603,0.5495,0.0438,0.3514,0.5608,0.0778,-0.0878,-0.0204,221,6168,4830,408,0.0472
lower_lr,trained_tuning_config,test_2015,results/metrics/aia_resnet18_hp_sensitivity_lower_lr_test_2015_metrics.json,38329,11627,11236,531,10705,1,0.2225,0.6222,0.0737,0.1891,0.0512,0.7209,0.0956,0.174,0.6207,0.0807,0.6761,0.6179,0.1442,0.294,0.0652,359,6615,4090,172,0.3275
reduced_pos_weight,trained_tuning_config,test_2013,results/metrics/aia_resnet18_hp_sensitivity_reduced_pos_weight_test_2013_metrics.json,14448,10815,13066,492,12574,1,0.065,0.6054,0.0404,0.1922,0.0164,0.6542,0.0559,0.1311,0.4369,0.0512,0.7967,0.4229,0.0963,0.2196,0.0275,392,5317,7257,100,0.2315
reduced_pos_weight,trained_tuning_config,test_2014,results/metrics/aia_resnet18_hp_sensitivity_reduced_pos_weight_test_2014_metrics.json,25263,13066,11627,629,10998,3,0.01,0.6531,0.0991,0.268,0.0527,0.5082,0.0796,0.0785,0.6555,0.0597,0.3641,0.6721,0.1026,0.0362,0.0106,229,7392,3606,400,0.0801
reduced_pos_weight,trained_tuning_config,test_2015,results/metrics/aia_resnet18_hp_sensitivity_reduced_pos_weight_test_2015_metrics.json,38329,11627,11236,531,10705,1,0.145,0.6578,0.0793,0.2464,0.0458,0.7362,0.0849,0.135,0.5072,0.0823,0.9284,0.4863,0.1512,0.4148,0.0705,493,5206,5499,38,0.4248
