config_name,source_kind,fold_id,train_rows,val_rows,test_rows,test_positives,test_negatives,test_positive_rate,selected_threshold,test_tp,test_tn,test_fp,test_fn,false_alarm_rate,miss_rate,fp_per_tp,fn_per_tp,predicted_positive_rate,predicted_negative_rate,test_precision,test_recall,test_specificity,test_tss,test_hss,test_roc_auc,test_pr_auc,diagnostic_test_best_tss,diagnostic_minus_official_tss
baseline_existing,existing_baseline,test_2013,14448,10815,13066,492,12574,0.037654982397061075,0.05,363,6317,6257,129,0.4976141243836488,0.2621951219512195,17.236914600550964,0.35537190082644626,0.5066585029848462,0.49334149701515384,0.0548,0.7378,0.5024,0.2402,0.0344,0.6592,0.0563,0.2538,0.013600000000000029
baseline_existing,existing_baseline,test_2014,25263,13066,11627,629,10998,0.05409821966113357,0.0075,242,6856,4142,387,0.3766139298054192,0.615262321144674,17.115702479338843,1.5991735537190082,0.377053410165993,0.6229465898340071,0.0552,0.3847,0.6234,0.0081,0.0021,0.4975,0.0541,0.0092,0.0011000000000000003
baseline_existing,existing_baseline,test_2015,38329,11627,11236,531,10705,0.04725881096475614,0.205,461,6265,4440,70,0.41475945819710414,0.1318267419962335,9.631236442516268,0.15184381778741865,0.436187255250979,0.563812744749021,0.0941,0.8682,0.5852,0.4534,0.0923,0.7477,0.0971,0.456,0.002599999999999991
higher_dropout,trained_tuning_config,test_2013,14448,10815,13066,492,12574,0.037654982397061075,0.0225,298,6859,5715,194,0.45450930491490377,0.3943089430894309,19.177852348993287,0.6510067114093959,0.4602020511250574,0.5397979488749426,0.0496,0.6057,0.5455,0.1512,0.0237,0.6408,0.0974,0.2406,0.08940000000000001
higher_dropout,trained_tuning_config,test_2014,25263,13066,11627,629,10998,0.05409821966113357,0.5975,135,9285,1713,494,0.15575559192580468,0.7853736089030207,12.688888888888888,3.6592592592592594,0.15894039735099338,0.8410596026490066,0.0731,0.2146,0.8442,0.0589,0.0308,0.596,0.0692,0.2064,0.1475
higher_dropout,trained_tuning_config,test_2015,38329,11627,11236,531,10705,0.04725881096475614,0.1275,415,5932,4773,116,0.445866417561887,0.2184557438794727,11.501204819277108,0.27951807228915665,0.4617301530793877,0.5382698469206123,0.08,0.7815,0.5541,0.3357,0.065,0.6563,0.074,0.3409,0.005199999999999982
lower_lr,trained_tuning_config,test_2013,14448,10815,13066,492,12574,0.037654982397061075,0.025,256,7729,4845,236,0.38531891204071894,0.4796747967479675,18.92578125,0.921875,0.3904025715597735,0.6095974284402266,0.0502,0.5203,0.6147,0.135,0.0245,0.5988,0.0571,0.1533,0.018299999999999983
lower_lr,trained_tuning_config,test_2014,25263,13066,11627,629,10998,0.05409821966113357,0.0075,221,6168,4830,408,0.4391707583196945,0.6486486486486487,21.855203619909503,1.8461538461538463,0.43441988475101057,0.5655801152489894,0.0438,0.3514,0.5608,-0.0878,-0.0204,0.4667,0.0539,0.0472,0.135
lower_lr,trained_tuning_config,test_2015,38329,11627,11236,531,10705,0.04725881096475614,0.2225,359,6615,4090,172,0.38206445586174687,0.3239171374764595,11.392757660167131,0.479108635097493,0.3959594161623354,0.6040405838376647,0.0807,0.6761,0.6179,0.294,0.0652,0.7209,0.0956,0.3275,0.03350000000000003
reduced_pos_weight,trained_tuning_config,test_2013,14448,10815,13066,492,12574,0.037654982397061075,0.065,392,5317,7257,100,0.5771433115953555,0.2032520325203252,18.512755102040817,0.25510204081632654,0.5854125210469922,0.4145874789530078,0.0512,0.7967,0.4229,0.2196,0.0275,0.6542,0.0559,0.2315,0.011900000000000022
reduced_pos_weight,trained_tuning_config,test_2014,25263,13066,11627,629,10998,0.05409821966113357,0.01,229,7392,3606,400,0.32787779596290234,0.6359300476947536,15.746724890829695,1.7467248908296944,0.32983572718672055,0.6701642728132794,0.0597,0.3641,0.6721,0.0362,0.0106,0.5082,0.0796,0.0801,0.0439
reduced_pos_weight,trained_tuning_config,test_2015,38329,11627,11236,531,10705,0.04725881096475614,0.145,493,5206,5499,38,0.5136851938346567,0.07156308851224105,11.154158215010142,0.07707910750507099,0.5332858668565326,0.46671413314346744,0.0823,0.9284,0.4863,0.4148,0.0705,0.7362,0.0849,0.4248,0.010000000000000009
