config_name,fold_id,selected_threshold,test_tss,diagnostic_test_best_tss,diagnostic_minus_official_tss,test_precision,test_recall,test_specificity,test_tp,test_tn,test_fp,test_fn
higher_dropout,test_2014,0.5975,0.0589,0.2064,0.1475,0.0731,0.2146,0.8442,135,9285,1713,494
lower_lr,test_2014,0.0075,-0.0878,0.0472,0.135,0.0438,0.3514,0.5608,221,6168,4830,408
higher_dropout,test_2013,0.0225,0.1512,0.2406,0.08940000000000001,0.0496,0.6057,0.5455,298,6859,5715,194
reduced_pos_weight,test_2014,0.01,0.0362,0.0801,0.0439,0.0597,0.3641,0.6721,229,7392,3606,400
lower_lr,test_2015,0.2225,0.294,0.3275,0.03350000000000003,0.0807,0.6761,0.6179,359,6615,4090,172
lower_lr,test_2013,0.025,0.135,0.1533,0.018299999999999983,0.0502,0.5203,0.6147,256,7729,4845,236
baseline_existing,test_2013,0.05,0.2402,0.2538,0.013600000000000029,0.0548,0.7378,0.5024,363,6317,6257,129
reduced_pos_weight,test_2013,0.065,0.2196,0.2315,0.011900000000000022,0.0512,0.7967,0.4229,392,5317,7257,100
reduced_pos_weight,test_2015,0.145,0.4148,0.4248,0.010000000000000009,0.0823,0.9284,0.4863,493,5206,5499,38
higher_dropout,test_2015,0.1275,0.3357,0.3409,0.005199999999999982,0.08,0.7815,0.5541,415,5932,4773,116
baseline_existing,test_2015,0.205,0.4534,0.456,0.002599999999999991,0.0941,0.8682,0.5852,461,6265,4440,70
baseline_existing,test_2014,0.0075,0.0081,0.0092,0.0011000000000000003,0.0552,0.3847,0.6234,242,6856,4142,387
