name,path,exists,size_mb
fusion_alignment_manifest,training/fusion_manifests/aia_sharp_goes_fusion_alignment_manifest_2010_2016.csv,True,40.35366630554199
fusion_fold_assignments,training/fusion_manifests/aia_sharp_goes_fusion_fold_assignments_2013_2015.csv,True,93.56966304779053
fusion_fold_summary,results/metrics/aia_sharp_goes_fusion_fold_summary.csv,True,0.0007829666137695312
aia_fold2015_image_baseline_comparison,results/metrics/aia_fold2015_image_baseline_comparison.csv,True,0.0013570785522460938
aia_resnet18_multifold_summary,results/metrics/aia_resnet18_physics_safe_multifold_fullnatural_summary.csv,True,0.0008783340454101562
aia_resnet18_hp_summary,results/metrics/aia_resnet18_hp_sensitivity_multifold_config_summary.csv,True,0.0012559890747070312
aia_cycle_regime_summary,results/metrics/aia_resnet18_cycle_phase_regime_diagnostics_config_fold_summary.csv,True,0.0025415420532226562
sharp_baseline_all_results,results/metrics/sharp_temporal_baseline_all_results.csv,True,0.021285057067871094
sharp_baseline_config_summary,results/metrics/sharp_temporal_baseline_config_summary.csv,True,0.0036172866821289062
sharp_selection_summary,results/metrics/sharp_temporal_baseline_selection_summary.json,True,0.0007171630859375
sharp_leakage_audit_report,results/metrics/sharp_temporal_leakage_audit_report.md,True,0.002712249755859375
sharp_leakage_ablation,results/metrics/sharp_temporal_leakage_audit_history_count_ablation.csv,True,0.0033617019653320312
