feature,feature_group,available_in_sharp_table,available_in_alignment_manifest,missing_rate_in_aligned_rows
MEANGBZ,preferred_16,True,True,0.000602852521687987
MEANGAM,preferred_16,True,True,0.0006469636818114983
MEANGBT,preferred_16,True,True,0.000602852521687987
MEANGBH,preferred_16,True,True,0.000602852521687987
MEANJZD,preferred_16,True,True,0.000602852521687987
TOTUSJZ,preferred_16,True,True,0.0
MEANALP,preferred_16,True,True,0.000602852521687987
MEANJZH,preferred_16,True,True,0.000602852521687987
ABSNJZH,preferred_16,True,True,0.0
SAVNCPP,preferred_16,True,True,0.0
MEANSHR,preferred_16,True,True,0.0015291868842817232
SHRGT45,preferred_16,True,True,0.000602852521687987
R_VALUE,preferred_16,True,True,0.0
USFLUX,preferred_16,True,True,0.0
TOTPOT,preferred_16,True,True,0.0
TOTUSJH,preferred_16,False,False,
MEANPOT,optional_present_if_available,True,True,0.000602852521687987
AREA_ACR,optional_present_if_available,True,True,0.0
