sample_id,T_REC_dt,HARPNUM,year,official_label_48h_final,has_sharp_row,HARPNUM_int,sharp_history_count_6h,has_min_sharp_history_6h,expected_steps_6h,sharp_history_count_12h,has_min_sharp_history_12h,expected_steps_12h,sharp_history_count_24h,has_min_sharp_history_24h,expected_steps_24h,sharp_history_count_48h,has_min_sharp_history_48h,expected_steps_48h
20100521_1636_HARP26_NOAA11072,2010-05-21 16:36:00,26,2010,0,True,26,4,True,4,8,True,8,9,False,16,9,False,31
20100521_1812_HARP26_NOAA11072,2010-05-21 18:12:00,26,2010,0,True,26,4,True,4,8,True,8,10,False,16,10,False,31
20100521_1948_HARP26_NOAA11072,2010-05-21 19:48:00,26,2010,0,True,26,4,True,4,8,True,8,11,False,16,11,False,31
20100521_2124_HARP26_NOAA11072,2010-05-21 21:24:00,26,2010,0,True,26,4,True,4,8,True,8,12,False,16,12,False,31
20100521_2300_HARP26_NOAA11072,2010-05-21 23:00:00,26,2010,0,True,26,4,True,4,8,True,8,13,False,16,13,False,31
20100522_0036_HARP26_NOAA11072,2010-05-22 00:36:00,26,2010,0,True,26,4,True,4,8,True,8,14,False,16,14,False,31
20100522_0212_HARP26_NOAA11072,2010-05-22 02:12:00,26,2010,0,True,26,4,True,4,8,True,8,15,False,16,15,False,31
20100522_0348_HARP26_NOAA11072,2010-05-22 03:48:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,16,False,31
20100522_0524_HARP26_NOAA11072,2010-05-22 05:24:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,17,False,31
20100522_0700_HARP26_NOAA11072,2010-05-22 07:00:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,18,False,31
20100522_0836_HARP26_NOAA11072,2010-05-22 08:36:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,19,False,31
20100522_1012_HARP26_NOAA11072,2010-05-22 10:12:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,20,False,31
20100522_1148_HARP26_NOAA11072,2010-05-22 11:48:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,21,False,31
20100522_1324_HARP26_NOAA11072,2010-05-22 13:24:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,22,False,31
20100522_1500_HARP26_NOAA11072,2010-05-22 15:00:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,23,False,31
20100522_1636_HARP26_NOAA11072,2010-05-22 16:36:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,24,False,31
20100522_1812_HARP26_NOAA11072,2010-05-22 18:12:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,25,False,31
20100522_1948_HARP26_NOAA11072,2010-05-22 19:48:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,26,False,31
20100522_2124_HARP26_NOAA11072,2010-05-22 21:24:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,27,False,31
20100522_2300_HARP26_NOAA11072,2010-05-22 23:00:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,28,False,31
20100523_0036_HARP26_NOAA11072,2010-05-23 00:36:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,29,False,31
20100523_0212_HARP26_NOAA11072,2010-05-23 02:12:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,30,False,31
20100523_0348_HARP26_NOAA11072,2010-05-23 03:48:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,31,True,31
20100523_0524_HARP26_NOAA11072,2010-05-23 05:24:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,31,True,31
20100523_0700_HARP26_NOAA11072,2010-05-23 07:00:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,31,True,31
20100523_0836_HARP26_NOAA11072,2010-05-23 08:36:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,31,True,31
20100523_1012_HARP26_NOAA11072,2010-05-23 10:12:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,31,True,31
20100523_1148_HARP26_NOAA11072,2010-05-23 11:48:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,31,True,31
20100523_1324_HARP26_NOAA11072,2010-05-23 13:24:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,31,True,31
20100523_1500_HARP26_NOAA11072,2010-05-23 15:00:00,26,2010,0,True,26,4,True,4,8,True,8,16,True,16,31,True,31
