gcp_path,file,sample_id,T_REC_dt,HARPNUM,NOAA_AR_clean,label_48h_global_old,label_48h_ar_specific,label_48h_final,label_48h,y,local_path,year,used_timestamp,used_s3_path,manifest_label_before_repair
gs://suryabench-sharp-pipeline-bamidele/samples_npz/2012/20120529_1824_HARP1705_NOAA11492.npz,20120529_1824_HARP1705_NOAA11492.npz,20120529_1824_HARP1705_NOAA11492,2012-05-29 18:24:00,1705,11492,0,0,0,0,0,/content/suryabench_work/processed/6AIA_512_true96min_48h/2012/samples_npz/20120529_1824_HARP1705_NOAA11492.npz,2012,2012-05-29 18:24:00,s3://nasa-surya-bench/2012/05/20120529_1824.nc,0.0
gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20131006_2212_HARP3246_NOAA11866.npz,20131006_2212_HARP3246_NOAA11866.npz,20131006_2212_HARP3246_NOAA11866,2013-10-06 22:12:00,3246,11866,1,0,0,0,0,/content/suryabench_work/processed/6AIA_512_true96min_48h/2013/samples_npz/20131006_2212_HARP3246_NOAA11866.npz,2013,2013-10-06 22:12:00,s3://nasa-surya-bench/2013/10/20131006_2212.nc,1.0
gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20131003_2048_HARP3244_NOAA11855.npz,20131003_2048_HARP3244_NOAA11855.npz,20131003_2048_HARP3244_NOAA11855,2013-10-03 20:48:00,3244,11855,0,0,0,0,0,/content/suryabench_work/processed/6AIA_512_true96min_48h/2013/samples_npz/20131003_2048_HARP3244_NOAA11855.npz,2013,2013-10-03 20:48:00,s3://nasa-surya-bench/2013/10/20131003_2048.nc,0.0
gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20130530_1348_HARP2779_NOAA11757.npz,20130530_1348_HARP2779_NOAA11757.npz,20130530_1348_HARP2779_NOAA11757,2013-05-30 13:48:00,2779,11757,1,0,0,0,0,/content/suryabench_work/processed/6AIA_512_true96min_48h/2013/samples_npz/20130530_1348_HARP2779_NOAA11757.npz,2013,2013-05-30 13:48:00,s3://nasa-surya-bench/2013/05/20130530_1348.nc,1.0
gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20131018_0036_HARP3293_NOAA11874.npz,20131018_0036_HARP3293_NOAA11874.npz,20131018_0036_HARP3293_NOAA11874,2013-10-18 00:36:00,3293,11874,0,0,0,0,0,/content/suryabench_work/processed/6AIA_512_true96min_48h/2013/samples_npz/20131018_0036_HARP3293_NOAA11874.npz,2013,2013-10-18 00:36:00,s3://nasa-surya-bench/2013/10/20131018_0036.nc,0.0
gs://suryabench-sharp-pipeline-bamidele/samples_npz/2011/20110206_1348_HARP361_NOAA11152.npz,20110206_1348_HARP361_NOAA11152.npz,20110206_1348_HARP361_NOAA11152,2011-02-06 13:48:00,361,11152,0,0,0,0,0,/content/suryabench_work/processed/6AIA_512_true96min_48h/2011/samples_npz/20110206_1348_HARP361_NOAA11152.npz,2011,2011-02-06 13:48:00,s3://nasa-surya-bench/2011/02/20110206_1348.nc,0.0
gs://suryabench-sharp-pipeline-bamidele/samples_npz/2011/20110605_1248_HARP637_NOAA11226.npz,20110605_1248_HARP637_NOAA11226.npz,20110605_1248_HARP637_NOAA11226,2011-06-05 12:48:00,637,11226,1,1,1,1,1,/content/suryabench_work/processed/6AIA_512_true96min_48h/2011/samples_npz/20110605_1248_HARP637_NOAA11226.npz,2011,2011-06-05 12:48:00,s3://nasa-surya-bench/2011/06/20110605_1248.nc,1.0
gs://suryabench-sharp-pipeline-bamidele/samples_npz/2011/20110905_2136_HARP833_NOAA11283.npz,20110905_2136_HARP833_NOAA11283.npz,20110905_2136_HARP833_NOAA11283,2011-09-05 21:36:00,833,11283,1,1,1,1,1,/content/suryabench_work/processed/6AIA_512_true96min_48h/2011/samples_npz/20110905_2136_HARP833_NOAA11283.npz,2011,2011-09-05 21:36:00,s3://nasa-surya-bench/2011/09/20110905_2136.nc,1.0
gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20131110_0224_HARP3341_NOAA11890.npz,20131110_0224_HARP3341_NOAA11890.npz,20131110_0224_HARP3341_NOAA11890,2013-11-10 02:24:00,3341,11890,1,1,1,1,1,/content/suryabench_work/processed/6AIA_512_true96min_48h/2013/samples_npz/20131110_0224_HARP3341_NOAA11890.npz,2013,2013-11-10 02:24:00,s3://nasa-surya-bench/2013/11/20131110_0224.nc,1.0
gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20130720_0224_HARP2968_NOAA11793.npz,20130720_0224_HARP2968_NOAA11793.npz,20130720_0224_HARP2968_NOAA11793,2013-07-20 02:24:00,2968,11793,0,0,0,0,0,/content/suryabench_work/processed/6AIA_512_true96min_48h/2013/samples_npz/20130720_0224_HARP2968_NOAA11793.npz,2013,2013-07-20 02:24:00,s3://nasa-surya-bench/2013/07/20130720_0224.nc,0.0
