feature_view,model_name,n_folds,mean_val_tss,std_val_tss,mean_test_tss,std_test_tss,mean_test_hss,std_test_hss,mean_test_roc_auc,std_test_roc_auc,mean_test_pr_auc,std_test_pr_auc,mean_test_precision,mean_test_recall,mean_test_specificity,mean_test_f1,mean_diagnostic_minus_official_tss
temporal_24h_available_preferred,random_forest_balanced,3,0.733701818384121,0.11418306856136864,0.6401806369347074,0.19015717796869225,0.29961440605408746,0.1340539946773084,0.9170012688220055,0.062029145052927594,0.39980051257439597,0.17929859876333074,0.22517284628767412,0.7602584106610841,0.8799222262736234,0.34283188157138605,0.09017680319453521
temporal_12h_available_preferred,random_forest_balanced,3,0.6602023509137828,0.11085482486515649,0.7087510671160274,0.0779321531163527,0.2496048903602929,0.04179318280229133,0.9322107409779323,0.029014036654162797,0.4537087843178928,0.09666148842239357,0.18531195723326344,0.8963424899564232,0.8124085771596042,0.30551163178119817,0.0386206410824006
snapshot_available_preferred,random_forest_balanced,3,0.6588959998323056,0.07083255187807846,0.6886839252230001,0.08512195398207444,0.29159042358008797,0.011090559006631183,0.9217161660251375,0.027387935998897862,0.4347009141650498,0.08246790779489575,0.21696392134673417,0.8335801209861954,0.8551038042368048,0.34337838811359545,0.029172442236171214
snapshot_available_preferred,logistic_regression_balanced,3,0.6425951813355615,0.06660462598025504,0.6797883665643824,0.13063969430393033,0.25428772399479,0.1327720483865478,0.9130068302497002,0.05368367240082924,0.48319816743375155,0.12986718147262677,0.19415880437916652,0.8827392915859225,0.7970490749784598,0.31088724866335654,0.019766670218546317
temporal_6h_available_preferred,random_forest_balanced,3,0.6304776293355646,0.07778838813788663,0.6974069953164785,0.0685570633200862,0.23235053413351445,0.017370759143079145,0.9267325387973431,0.031295840652788794,0.43783912005227515,0.07337169063084227,0.174217854187254,0.901753501930732,0.7956534933857465,0.29108941928793686,0.04156145989595291
snapshot_plus_optional,logistic_regression_balanced,3,0.6277172861638923,0.07698434807155369,0.6946673523825666,0.1141697241232488,0.2849726706486229,0.15058262455775362,0.9057201391958261,0.06753345865940102,0.485828835587723,0.13095139916488538,0.21741503839495704,0.8772354230552807,0.8174319293272859,0.3379181695555377,0.020317376196464416
temporal_6h_available_preferred,logistic_regression_balanced,3,0.618723879875643,0.06743957757044489,0.6768403037095476,0.11307642370640138,0.2295458064741233,0.08453974593563214,0.9144549323500722,0.04392607866554716,0.4509268325088101,0.12013141698399042,0.1741447994839036,0.8900212727961905,0.7868190309133571,0.2887737210200666,0.02211666113474764
snapshot_plus_optional,random_forest_balanced,3,0.6004662195258961,0.11805850893473158,0.6626236386851564,0.1298923343187121,0.2949103454776749,0.09395323963556579,0.9030859531124401,0.052568910395055776,0.42815424429069093,0.09110474153737273,0.22643015408285572,0.8065157356369087,0.8561079030482476,0.3448572129171959,0.011872715157598876
temporal_12h_available_preferred,logistic_regression_balanced,3,0.5818229997831569,0.0608170262331734,0.6479750995047353,0.09190385437790206,0.22037017533259318,0.10692416961442502,0.9063245378152184,0.03148971616862973,0.4083561791322108,0.044836880631447106,0.1697932928717426,0.8779391496839143,0.770035949820821,0.27921266207751216,0.024451371569340113
temporal_24h_available_preferred,logistic_regression_balanced,3,0.531744885440979,0.11526713870921591,0.5460175414590059,0.07444334670301643,0.2199858279489558,0.14704371909194414,0.8652063840197592,0.04812137518032866,0.35944411576220947,0.0939853574654093,0.17544379244734762,0.7241205673858113,0.8218969740731947,0.2686115124169785,0.02401214297539071
