feature,expected_column,feature_group,available,missing_rate
MEANGBZ,sharp_MEANGBZ,preferred_16,True,0.000602852521687987
MEANGAM,sharp_MEANGAM,preferred_16,True,0.0006469636818114983
MEANGBT,sharp_MEANGBT,preferred_16,True,0.000602852521687987
MEANGBH,sharp_MEANGBH,preferred_16,True,0.000602852521687987
MEANJZD,sharp_MEANJZD,preferred_16,True,0.000602852521687987
TOTUSJZ,sharp_TOTUSJZ,preferred_16,True,0.0
MEANALP,sharp_MEANALP,preferred_16,True,0.000602852521687987
MEANJZH,sharp_MEANJZH,preferred_16,True,0.000602852521687987
ABSNJZH,sharp_ABSNJZH,preferred_16,True,0.0
SAVNCPP,sharp_SAVNCPP,preferred_16,True,0.0
MEANSHR,sharp_MEANSHR,preferred_16,True,0.0015291868842817232
SHRGT45,sharp_SHRGT45,preferred_16,True,0.000602852521687987
R_VALUE,sharp_R_VALUE,preferred_16,True,0.0
USFLUX,sharp_USFLUX,preferred_16,True,0.0
TOTPOT,sharp_TOTPOT,preferred_16,True,0.0
TOTUSJH,sharp_TOTUSJH,preferred_16,False,
MEANPOT,sharp_MEANPOT,optional,True,0.000602852521687987
AREA_ACR,sharp_AREA_ACR,optional,True,0.0
