feature,is_history_count,stat_type,mean_importance,std_importance
sharp_24h_R_VALUE_last,False,last,0.08821367837833193,0.015322732260319933
sharp_24h_R_VALUE_max,False,max,0.07762617663772149,0.01063279633979546
sharp_24h_TOTPOT_max,False,max,0.058863273349956065,0.007431980572361964
sharp_24h_SAVNCPP_max,False,max,0.055327049478025914,0.008776048183645241
sharp_24h_SAVNCPP_mean,False,mean,0.052054354493735217,0.01768602036935947
sharp_24h_TOTUSJZ_max,False,max,0.05168750681226577,0.013164815293537045
sharp_24h_R_VALUE_mean,False,mean,0.045029018627249874,0.017081362773117198
sharp_24h_R_VALUE_min,False,min,0.03960371166270427,0.016385538863628146
sharp_24h_TOTUSJZ_last,False,last,0.03795451078522317,0.010423768783956152
sharp_24h_TOTUSJZ_mean,False,mean,0.03605273754081403,0.0029354778697228273
sharp_24h_TOTUSJZ_min,False,min,0.02973097407866347,0.006016195990283039
sharp_24h_SAVNCPP_last,False,last,0.02965329234773424,0.014767337396943478
sharp_24h_ABSNJZH_std,False,std,0.02660835660630177,0.00575607854779408
sharp_24h_USFLUX_last,False,last,0.024776890027147738,0.006323642651347933
sharp_24h_SAVNCPP_min,False,min,0.017783722550086624,0.014060135590048126
sharp_24h_SAVNCPP_std,False,std,0.017432513952586905,0.00034090310374859537
sharp_24h_USFLUX_max,False,max,0.016595815166319937,0.007305130962878344
sharp_24h_TOTPOT_last,False,last,0.014901974599765264,0.015405670552351064
sharp_24h_MEANGBH_max,False,max,0.014564324530668514,0.004927502121478204
sharp_24h_TOTPOT_std,False,std,0.012799305300989107,0.004807834422685524
sharp_24h_ABSNJZH_max,False,max,0.01078906861334327,0.002241821173355817
sharp_24h_MEANGBH_mean,False,mean,0.010470893817632115,0.0035171305332500264
sharp_24h_MEANGBH_min,False,min,0.009443256533860979,0.0029076714096155382
sharp_24h_TOTPOT_delta,False,delta,0.007707780964700703,0.0014319194910129337
sharp_24h_USFLUX_mean,False,mean,0.007214028846339693,0.0010059784167553887
sharp_24h_SHRGT45_mean,False,mean,0.007047591070233307,0.0026348047805417473
sharp_24h_MEANSHR_max,False,max,0.006935733322770647,0.0034916297550227253
sharp_24h_TOTUSJZ_std,False,std,0.006750942165434582,0.0031176826849234783
sharp_24h_MEANJZD_mean,False,mean,0.006027142212895254,0.0001414463198574246
sharp_24h_TOTUSJZ_delta,False,delta,0.005765034860424641,0.00020564047240781083
sharp_24h_MEANJZD_max,False,max,0.005764602632169901,0.0003483262828545166
sharp_24h_USFLUX_min,False,min,0.0056811663839035935,0.00197115712659054
sharp_24h_MEANJZH_min,False,min,0.005496393620534413,0.0026203959086521437
sharp_24h_ABSNJZH_last,False,last,0.005414851418686528,0.00325655318525133
sharp_24h_TOTPOT_mean,False,mean,0.005325724130493096,0.0021230366549333415
sharp_24h_SHRGT45_max,False,max,0.005136006992894605,0.0025589723145418106
sharp_24h_USFLUX_delta,False,delta,0.004782650586944944,0.0002858832919296528
sharp_24h_SHRGT45_last,False,last,0.004707067728740106,0.004266672128047665
sharp_24h_MEANGBH_last,False,last,0.004604668516237086,0.002840070875043684
sharp_24h_MEANALP_std,False,std,0.004424113532237923,0.0027455970515716096
