feature,is_history_count,stat_type,mean_importance,std_importance
sharp_24h_R_VALUE_last,False,last,0.08821367837833193,0.015322732260319933
sharp_24h_R_VALUE_max,False,max,0.07762617663772149,0.01063279633979546
sharp_24h_TOTPOT_max,False,max,0.058863273349956065,0.007431980572361964
sharp_24h_SAVNCPP_max,False,max,0.055327049478025914,0.008776048183645241
sharp_24h_SAVNCPP_mean,False,mean,0.052054354493735217,0.01768602036935947
sharp_24h_TOTUSJZ_max,False,max,0.05168750681226577,0.013164815293537045
sharp_24h_R_VALUE_mean,False,mean,0.045029018627249874,0.017081362773117198
sharp_24h_R_VALUE_min,False,min,0.03960371166270427,0.016385538863628146
sharp_24h_TOTUSJZ_last,False,last,0.03795451078522317,0.010423768783956152
sharp_24h_TOTUSJZ_mean,False,mean,0.03605273754081403,0.0029354778697228273
sharp_24h_TOTUSJZ_min,False,min,0.02973097407866347,0.006016195990283039
sharp_24h_SAVNCPP_last,False,last,0.02965329234773424,0.014767337396943478
sharp_24h_ABSNJZH_std,False,std,0.02660835660630177,0.00575607854779408
sharp_24h_USFLUX_last,False,last,0.024776890027147738,0.006323642651347933
sharp_24h_SAVNCPP_min,False,min,0.017783722550086624,0.014060135590048126
sharp_24h_SAVNCPP_std,False,std,0.017432513952586905,0.00034090310374859537
sharp_24h_USFLUX_max,False,max,0.016595815166319937,0.007305130962878344
sharp_24h_TOTPOT_last,False,last,0.014901974599765264,0.015405670552351064
sharp_24h_MEANGBH_max,False,max,0.014564324530668514,0.004927502121478204
sharp_24h_TOTPOT_std,False,std,0.012799305300989107,0.004807834422685524
