block_id,HARPNUM,start,end,n_targets,n_positive,global_block_index,num_shards,shard_index
2025_HARP12519_20250101_0124_20250101_0612,12519,2025-01-01 01:24:00,2025-01-01 06:12:00,4,0,2,4,2
2025_HARP12492_20250102_0124_20250102_2348,12492,2025-01-02 01:24:00,2025-01-02 23:48:00,15,10,6,4,2
2025_HARP12492_20250103_0124_20250103_0300,12492,2025-01-03 01:24:00,2025-01-03 03:00:00,2,0,10,4,2
2025_HARP12541_20250104_0712_20250105_0536,12541,2025-01-04 07:12:00,2025-01-05 05:36:00,15,0,14,4,2
2025_HARP12511_20250104_1324_20250104_1324,12511,2025-01-04 13:24:00,2025-01-04 13:24:00,1,0,18,4,2
2025_HARP12506_20250105_0900_20250105_2012,12506,2025-01-05 09:00:00,2025-01-05 20:12:00,8,0,22,4,2
2025_HARP12541_20250106_0712_20250106_1024,12541,2025-01-06 07:12:00,2025-01-06 10:24:00,3,0,26,4,2
2025_HARP12541_20250106_1336_20250106_2000,12541,2025-01-06 13:36:00,2025-01-06 20:00:00,5,0,30,4,2
2025_HARP12546_20250107_0224_20250107_2324,12546,2025-01-07 02:24:00,2025-01-07 23:24:00,14,0,34,4,2
2025_HARP12535_20250107_2100_20250108_0012,12535,2025-01-07 21:00:00,2025-01-08 00:12:00,3,0,38,4,2
2025_HARP12532_20250108_0812_20250108_1300,12532,2025-01-08 08:12:00,2025-01-08 13:00:00,4,4,42,4,2
2025_HARP12540_20250108_1912_20250109_0800,12540,2025-01-08 19:12:00,2025-01-09 08:00:00,9,0,46,4,2
2025_HARP12537_20250109_0736_20250109_1848,12537,2025-01-09 07:36:00,2025-01-09 18:48:00,8,0,50,4,2
2025_HARP12537_20250110_0800_20250111_0448,12537,2025-01-10 08:00:00,2025-01-11 04:48:00,14,0,54,4,2
2025_HARP12567_20250111_1012_20250111_1500,12567,2025-01-11 10:12:00,2025-01-11 15:00:00,4,0,58,4,2
2025_HARP12537_20250112_1112_20250112_1112,12537,2025-01-12 11:12:00,2025-01-12 11:12:00,1,0,62,4,2
2025_HARP12567_20250113_1024_20250114_0536,12567,2025-01-13 10:24:00,2025-01-14 05:36:00,13,0,66,4,2
2025_HARP12598_20250114_0536_20250114_0536,12598,2025-01-14 05:36:00,2025-01-14 05:36:00,1,0,70,4,2
2025_HARP12576_20250114_1024_20250115_0048,12576,2025-01-14 10:24:00,2025-01-15 00:48:00,10,0,74,4,2
2025_HARP12576_20250115_0924_20250115_1236,12576,2025-01-15 09:24:00,2025-01-15 12:36:00,3,0,78,4,2
2025_HARP12572_20250115_2112_20250116_0512,12572,2025-01-15 21:12:00,2025-01-16 05:12:00,6,0,82,4,2
2025_HARP12597_20250116_0924_20250116_1548,12597,2025-01-16 09:24:00,2025-01-16 15:48:00,5,5,86,4,2
2025_HARP12579_20250116_1836_20250117_0424,12579,2025-01-16 18:36:00,2025-01-17 04:24:00,7,0,90,4,2
2025_HARP12598_20250116_2212_20250117_0612,12598,2025-01-16 22:12:00,2025-01-17 06:12:00,6,0,94,4,2
2025_HARP12579_20250117_1024_20250118_0536,12579,2025-01-17 10:24:00,2025-01-18 05:36:00,13,0,98,4,2
2025_HARP12576_20250117_1936_20250118_0512,12576,2025-01-17 19:36:00,2025-01-18 05:12:00,7,0,102,4,2
2025_HARP12579_20250118_1936_20250119_0512,12579,2025-01-18 19:36:00,2025-01-19 05:12:00,7,0,106,4,2
2025_HARP12600_20250120_1012_20250121_0536,12600,2025-01-20 10:12:00,2025-01-21 05:36:00,13,0,110,4,2
2025_HARP12579_20250121_0436_20250121_0612,12579,2025-01-21 04:36:00,2025-01-21 06:12:00,2,0,114,4,2
2025_HARP12623_20250122_0412_20250122_0412,12623,2025-01-22 04:12:00,2025-01-22 04:12:00,1,0,118,4,2
2025_HARP12600_20250122_1936_20250122_2112,12600,2025-01-22 19:36:00,2025-01-22 21:12:00,2,0,122,4,2
2025_HARP12623_20250123_1048_20250124_0424,12623,2025-01-23 10:48:00,2025-01-24 04:24:00,12,0,126,4,2
2025_HARP12643_20250124_1124_20250125_0500,12643,2025-01-24 11:24:00,2025-01-25 05:00:00,12,0,130,4,2
2025_HARP12623_20250126_0912_20250126_1224,12623,2025-01-26 09:12:00,2025-01-26 12:24:00,3,0,134,4,2
2025_HARP12660_20250127_0924_20250127_1724,12660,2025-01-27 09:24:00,2025-01-27 17:24:00,6,0,138,4,2
2025_HARP12660_20250129_1012_20250130_0424,12660,2025-01-29 10:12:00,2025-01-30 04:24:00,12,0,142,4,2
2025_HARP12657_20250131_0924_20250201_0612,12657,2025-01-31 09:24:00,2025-02-01 06:12:00,14,0,146,4,2
2025_HARP12667_20250202_0912_20250203_0424,12667,2025-02-02 09:12:00,2025-02-03 04:24:00,13,0,150,4,2
2025_HARP12679_20250203_1012_20250204_0524,12679,2025-02-03 10:12:00,2025-02-04 05:24:00,13,0,154,4,2
2025_HARP12667_20250204_1024_20250205_0924,12667,2025-02-04 10:24:00,2025-02-05 09:24:00,15,0,158,4,2
2025_HARP12679_20250205_0812_20250206_0512,12679,2025-02-05 08:12:00,2025-02-06 05:12:00,14,0,162,4,2
2025_HARP12703_20250205_2048_20250206_1912,12703,2025-02-05 20:48:00,2025-02-06 19:12:00,15,0,166,4,2
2025_HARP12701_20250207_0736_20250208_0424,12701,2025-02-07 07:36:00,2025-02-08 04:24:00,14,0,170,4,2
2025_HARP12708_20250208_1412_20250209_1236,12708,2025-02-08 14:12:00,2025-02-09 12:36:00,15,0,174,4,2
2025_HARP12712_20250209_1936_20250210_1624,12712,2025-02-09 19:36:00,2025-02-10 16:24:00,14,0,178,4,2
2025_HARP12713_20250210_2300_20250211_2124,12713,2025-02-10 23:00:00,2025-02-11 21:24:00,15,0,182,4,2
2025_HARP12713_20250211_2300_20250212_2148,12713,2025-02-11 23:00:00,2025-02-12 21:48:00,15,0,186,4,2
2025_HARP12752_20250213_1324_20250214_1148,12752,2025-02-13 13:24:00,2025-02-14 11:48:00,15,0,190,4,2
2025_HARP12713_20250213_2324_20250214_0548,12713,2025-02-13 23:24:00,2025-02-14 05:48:00,5,0,194,4,2
2025_HARP12765_20250214_1948_20250214_2300,12765,2025-02-14 19:48:00,2025-02-14 23:00:00,3,0,198,4,2
2025_HARP12733_20250216_0948_20250217_0812,12733,2025-02-16 09:48:00,2025-02-17 08:12:00,15,0,202,4,2
2025_HARP12732_20250217_0036_20250217_2300,12732,2025-02-17 00:36:00,2025-02-17 23:00:00,15,0,206,4,2
2025_HARP12755_20250218_0324_20250219_0148,12755,2025-02-18 03:24:00,2025-02-19 01:48:00,15,0,210,4,2
2025_HARP12768_20250219_2324_20250220_2148,12768,2025-02-19 23:24:00,2025-02-20 21:48:00,15,0,214,4,2
2025_HARP12793_20250220_1936_20250221_1624,12793,2025-02-20 19:36:00,2025-02-21 16:24:00,14,12,218,4,2
2025_HARP12768_20250221_2324_20250222_2148,12768,2025-02-21 23:24:00,2025-02-22 21:48:00,15,0,222,4,2
2025_HARP12768_20250222_2324_20250223_1524,12768,2025-02-22 23:24:00,2025-02-23 15:24:00,11,0,226,4,2
2025_HARP12798_20250224_1336_20250225_1200,12798,2025-02-24 13:36:00,2025-02-25 12:00:00,15,0,230,4,2
2025_HARP12798_20250225_2000_20250226_0536,12798,2025-02-25 20:00:00,2025-02-26 05:36:00,7,0,234,4,2
2025_HARP12798_20250226_2100_20250227_1936,12798,2025-02-26 21:00:00,2025-02-27 19:36:00,14,0,238,4,2
2025_HARP12810_20250227_1612_20250228_1500,12810,2025-02-27 16:12:00,2025-02-28 15:00:00,15,0,242,4,2
2025_HARP12808_20250228_0500_20250301_0324,12808,2025-02-28 05:00:00,2025-03-01 03:24:00,15,0,246,4,2
2025_HARP12808_20250301_0500_20250302_0324,12808,2025-03-01 05:00:00,2025-03-02 03:24:00,15,0,250,4,2
2025_HARP12808_20250302_1300_20250303_1124,12808,2025-03-02 13:00:00,2025-03-03 11:24:00,15,0,254,4,2
2025_HARP12865_20250303_2136_20250304_2000,12865,2025-03-03 21:36:00,2025-03-04 20:00:00,15,0,258,4,2
2025_HARP12853_20250305_2136_20250306_2000,12853,2025-03-05 21:36:00,2025-03-06 20:00:00,15,0,262,4,2
2025_HARP12853_20250306_2136_20250307_2000,12853,2025-03-06 21:36:00,2025-03-07 20:00:00,15,0,266,4,2
2025_HARP12853_20250308_0100_20250308_2324,12853,2025-03-08 01:00:00,2025-03-08 23:24:00,15,0,270,4,2
2025_HARP12873_20250309_1100_20250310_0924,12873,2025-03-09 11:00:00,2025-03-10 09:24:00,15,0,274,4,2
2025_HARP12873_20250310_1100_20250311_0924,12873,2025-03-10 11:00:00,2025-03-11 09:24:00,15,0,278,4,2
2025_HARP12879_20250311_0400_20250312_0248,12879,2025-03-11 04:00:00,2025-03-12 02:48:00,15,0,282,4,2
2025_HARP12879_20250312_0424_20250312_0424,12879,2025-03-12 04:24:00,2025-03-12 04:24:00,1,0,286,4,2
2025_HARP12885_20250312_1624_20250312_1624,12885,2025-03-12 16:24:00,2025-03-12 16:24:00,1,0,290,4,2
2025_HARP12889_20250313_0800_20250314_0624,12889,2025-03-13 08:00:00,2025-03-14 06:24:00,15,0,294,4,2
2025_HARP12869_20250314_0224_20250314_0536,12869,2025-03-14 02:24:00,2025-03-14 05:36:00,3,0,298,4,2
2025_HARP12885_20250314_0936_20250315_0800,12885,2025-03-14 09:36:00,2025-03-15 08:00:00,15,0,302,4,2
2025_HARP12879_20250315_0848_20250315_1512,12879,2025-03-15 08:48:00,2025-03-15 15:12:00,5,0,306,4,2
2025_HARP12906_20250315_1524_20250316_1348,12906,2025-03-15 15:24:00,2025-03-16 13:48:00,15,0,310,4,2
2025_HARP12930_20250316_1400_20250317_0424,12930,2025-03-16 14:00:00,2025-03-17 04:24:00,10,0,314,4,2
2025_HARP12893_20250317_1236_20250318_1100,12893,2025-03-17 12:36:00,2025-03-18 11:00:00,15,0,318,4,2
