block_id,status,n_targets,n_saved_this_run,elapsed_minutes,message,n_pending_at_start
2025_HARP12506_20250101_0836_20250102_0724,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12506_20250102_0900_20250103_0724,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12506_20250103_0900_20250104_0724,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12535_20250104_0800_20250105_0624,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12540_20250104_1512_20250105_1336,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12515_20250105_0924_20250106_0748,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12535_20250106_0800_20250106_1736,already_complete,7,0,0.0,all_samples_already_in_gcp,
2025_HARP12515_20250106_2036_20250107_1724,already_complete,14,0,0.0,all_samples_already_in_gcp,
2025_HARP12540_20250107_1336_20250107_2324,already_complete,7,0,0.0,all_samples_already_in_gcp,
2025_HARP12537_20250107_2300_20250108_0036,already_complete,2,0,0.0,all_samples_already_in_gcp,
2025_HARP12535_20250108_0812_20250108_1300,already_complete,4,0,0.0,all_samples_already_in_gcp,
2025_HARP12546_20250108_1912_20250109_1736,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12546_20250109_1912_20250110_1624,already_complete,14,0,0.0,all_samples_already_in_gcp,
2025_HARP12567_20250110_1612_20250111_0500,already_complete,9,0,0.0,all_samples_already_in_gcp,
2025_HARP12546_20250111_1024_20250111_1512,already_complete,4,0,0.0,all_samples_already_in_gcp,
2025_HARP12567_20250112_1124_20250113_0636,already_complete,13,0,0.0,all_samples_already_in_gcp,
2025_HARP12572_20250113_1036_20250114_0548,already_complete,13,0,0.0,all_samples_already_in_gcp,
2025_HARP12567_20250114_0924_20250115_0300,already_complete,12,0,0.0,all_samples_already_in_gcp,
2025_HARP12572_20250114_1112_20250115_0624,already_complete,13,0,0.0,all_samples_already_in_gcp,
2025_HARP12598_20250115_1000_20250115_1312,already_complete,3,0,0.0,all_samples_already_in_gcp,
2025_HARP12597_20250115_2112_20250116_0512,already_complete,6,0,0.0,all_samples_already_in_gcp,
2025_HARP12611_20250116_1000_20250116_1624,already_complete,5,0,0.0,all_samples_already_in_gcp,
2025_HARP12572_20250116_1900_20250116_1900,already_complete,1,0,0.0,all_samples_already_in_gcp,
2025_HARP12572_20250116_2224_20250117_0000,already_complete,2,0,0.0,all_samples_already_in_gcp,
2025_HARP12598_20250117_1036_20250118_0548,already_complete,13,0,0.0,all_samples_already_in_gcp,
2025_HARP12576_20250118_0924_20250118_1248,already_complete,3,0,0.0,all_samples_already_in_gcp,
2025_HARP12579_20250119_0924_20250120_0624,already_complete,14,0,0.0,all_samples_already_in_gcp,
2025_HARP12579_20250120_1048_20250121_0112,already_complete,10,0,0.0,all_samples_already_in_gcp,
2025_HARP12589_20250121_1048_20250122_0612,error,13,0,,DrmsExportError('Expecting value: line 1 column 1 (char 0) [status=4]'),
2025_HARP12600_20250122_1000_20250122_1624,error,5,0,,DrmsExportError('Expecting value: line 1 column 1 (char 0) [status=4]'),
2025_HARP12600_20250123_0112_20250123_0424,error,3,0,,DrmsExportError('Expecting value: line 1 column 1 (char 0) [status=4]'),
2025_HARP12643_20250123_1636_20250124_0524,already_complete,9,0,0.0,all_samples_already_in_gcp,
2025_HARP12600_20250124_1936_20250124_1936,already_complete,1,0,0.0,all_samples_already_in_gcp,
2025_HARP12660_20250126_1000_20250126_1624,already_complete,5,0,0.0,all_samples_already_in_gcp,
2025_HARP12643_20250127_1112_20250128_0136,already_complete,10,0,0.0,all_samples_already_in_gcp,
2025_HARP12657_20250129_1712_20250130_0424,already_complete,8,0,0.0,all_samples_already_in_gcp,
2025_HARP12657_20250201_1012_20250202_0612,already_complete,13,0,0.0,all_samples_already_in_gcp,
2025_HARP12657_20250202_1000_20250202_1624,already_complete,5,0,0.0,all_samples_already_in_gcp,
2025_HARP12667_20250203_1124_20250204_0636,already_complete,13,0,0.0,all_samples_already_in_gcp,
2025_HARP12679_20250204_1048_20250205_0424,already_complete,12,0,0.0,all_samples_already_in_gcp,
2025_HARP12701_20250205_0900_20250206_0424,already_complete,13,0,0.0,all_samples_already_in_gcp,
