block_id,HARPNUM,start,end,n_targets,n_positive,global_block_index,num_shards,shard_index
2025_HARP12492_20250101_0100_20250101_2348,12492,2025-01-01 01:00:00,2025-01-01 23:48:00,15,15,0,2,0
2025_HARP12519_20250101_0124_20250101_0612,12519,2025-01-01 01:24:00,2025-01-01 06:12:00,4,0,2,2,0
2025_HARP12511_20250101_1024_20250101_1648,12511,2025-01-01 10:24:00,2025-01-01 16:48:00,5,0,4,2,0
2025_HARP12492_20250102_0124_20250102_2348,12492,2025-01-02 01:24:00,2025-01-02 23:48:00,15,10,6,2,0
2025_HARP12511_20250102_0912_20250102_0912,12511,2025-01-02 09:12:00,2025-01-02 09:12:00,1,0,8,2,0
2025_HARP12492_20250103_0124_20250103_0300,12492,2025-01-03 01:24:00,2025-01-03 03:00:00,2,0,10,2,0
2025_HARP12511_20250103_1324_20250104_1148,12511,2025-01-03 13:24:00,2025-01-04 11:48:00,15,0,12,2,0
2025_HARP12541_20250104_0712_20250105_0536,12541,2025-01-04 07:12:00,2025-01-05 05:36:00,15,0,14,2,0
2025_HARP12506_20250104_0900_20250105_0724,12506,2025-01-04 09:00:00,2025-01-05 07:24:00,15,0,16,2,0
2025_HARP12511_20250104_1324_20250104_1324,12511,2025-01-04 13:24:00,2025-01-04 13:24:00,1,0,18,2,0
2025_HARP12541_20250105_0712_20250106_0536,12541,2025-01-05 07:12:00,2025-01-06 05:36:00,15,0,20,2,0
2025_HARP12506_20250105_0900_20250105_2012,12506,2025-01-05 09:00:00,2025-01-05 20:12:00,8,0,22,2,0
2025_HARP12540_20250105_1512_20250106_1024,12540,2025-01-05 15:12:00,2025-01-06 10:24:00,13,0,24,2,0
2025_HARP12541_20250106_0712_20250106_1024,12541,2025-01-06 07:12:00,2025-01-06 10:24:00,3,0,26,2,0
2025_HARP12515_20250106_0924_20250106_1724,12515,2025-01-06 09:24:00,2025-01-06 17:24:00,6,0,28,2,0
2025_HARP12541_20250106_1336_20250106_2000,12541,2025-01-06 13:36:00,2025-01-06 20:00:00,5,0,30,2,0
2025_HARP12532_20250106_2048_20250107_1924,12532,2025-01-06 20:48:00,2025-01-07 19:24:00,15,12,32,2,0
2025_HARP12546_20250107_0224_20250107_2324,12546,2025-01-07 02:24:00,2025-01-07 23:24:00,14,0,34,2,0
2025_HARP12515_20250107_2048_20250108_0000,12515,2025-01-07 20:48:00,2025-01-08 00:00:00,3,0,36,2,0
2025_HARP12535_20250107_2100_20250108_0012,12535,2025-01-07 21:00:00,2025-01-08 00:12:00,3,0,38,2,0
2025_HARP12537_20250108_0700_20250108_1324,12537,2025-01-08 07:00:00,2025-01-08 13:24:00,5,0,40,2,0
2025_HARP12532_20250108_0812_20250108_1300,12532,2025-01-08 08:12:00,2025-01-08 13:00:00,4,4,42,2,0
2025_HARP12540_20250108_0900_20250108_1212,12540,2025-01-08 09:00:00,2025-01-08 12:12:00,3,0,44,2,0
2025_HARP12540_20250108_1912_20250109_0800,12540,2025-01-08 19:12:00,2025-01-09 08:00:00,9,0,46,2,0
