block_id,HARPNUM,start,end,n_targets,n_positive
2026_HARP14215_20260101_0024_20260101_1624,14215,2026-01-01 00:24:00,2026-01-01 16:24:00,11,0
2026_HARP14220_20260101_0036_20260101_1012,14220,2026-01-01 00:36:00,2026-01-01 10:12:00,7,0
2026_HARP14239_20260101_0100_20260101_2324,14239,2026-01-01 01:00:00,2026-01-01 23:24:00,15,0
2026_HARP14220_20260101_1324_20260102_1148,14220,2026-01-01 13:24:00,2026-01-02 11:48:00,15,0
2026_HARP14215_20260101_1936_20260102_1624,14215,2026-01-01 19:36:00,2026-01-02 16:24:00,14,0
2026_HARP14228_20260102_0012_20260102_2236,14228,2026-01-02 00:12:00,2026-01-02 22:36:00,15,0
2026_HARP14239_20260102_0100_20260102_2324,14239,2026-01-02 01:00:00,2026-01-02 23:24:00,15,0
2026_HARP14246_20260102_1100_20260103_0748,14246,2026-01-02 11:00:00,2026-01-03 07:48:00,14,0
2026_HARP14220_20260102_1324_20260103_0836,14220,2026-01-02 13:24:00,2026-01-03 08:36:00,13,0
2026_HARP14215_20260102_1936_20260103_0824,14215,2026-01-02 19:36:00,2026-01-03 08:24:00,9,0
2026_HARP14228_20260103_0012_20260103_0812,14228,2026-01-03 00:12:00,2026-01-03 08:12:00,6,0
2026_HARP14245_20260103_0036_20260103_0836,14245,2026-01-03 00:36:00,2026-01-03 08:36:00,6,0
2026_HARP14239_20260103_0100_20260103_0724,14239,2026-01-03 01:00:00,2026-01-03 07:24:00,5,0
2026_HARP14239_20260103_1924_20260104_1748,14239,2026-01-03 19:24:00,2026-01-04 17:48:00,15,0
2026_HARP14246_20260103_1948_20260104_1812,14246,2026-01-03 19:48:00,2026-01-04 18:12:00,15,0
2026_HARP14228_20260103_2012_20260104_1836,14228,2026-01-03 20:12:00,2026-01-04 18:36:00,15,0
2026_HARP14215_20260103_2024_20260103_2336,14215,2026-01-03 20:24:00,2026-01-03 23:36:00,3,0
2026_HARP14220_20260103_2036_20260104_0436,14220,2026-01-03 20:36:00,2026-01-04 04:36:00,6,0
2026_HARP14245_20260103_2036_20260104_1900,14245,2026-01-03 20:36:00,2026-01-04 19:00:00,15,0
2026_HARP14239_20260104_1924_20260105_0948,14239,2026-01-04 19:24:00,2026-01-05 09:48:00,10,0
2026_HARP14246_20260104_1948_20260105_1812,14246,2026-01-04 19:48:00,2026-01-05 18:12:00,15,0
2026_HARP14228_20260104_2012_20260105_1836,14228,2026-01-04 20:12:00,2026-01-05 18:36:00,15,0
2026_HARP14245_20260104_2036_20260104_2212,14245,2026-01-04 20:36:00,2026-01-04 22:12:00,2,0
2026_HARP14245_20260105_0124_20260105_0612,14245,2026-01-05 01:24:00,2026-01-05 06:12:00,4,0
2026_HARP14245_20260105_0924_20260105_1724,14245,2026-01-05 09:24:00,2026-01-05 17:24:00,6,0
2026_HARP14246_20260105_1948_20260106_1848,14246,2026-01-05 19:48:00,2026-01-06 18:48:00,15,0
2026_HARP14228_20260105_2012_20260106_1424,14228,2026-01-05 20:12:00,2026-01-06 14:24:00,12,0
2026_HARP14245_20260105_2036_20260106_1624,14245,2026-01-05 20:36:00,2026-01-06 16:24:00,13,0
2026_HARP14251_20260106_1524_20260106_1836,14251,2026-01-06 15:24:00,2026-01-06 18:36:00,3,0
2026_HARP14245_20260106_2124_20260107_0700,14245,2026-01-06 21:24:00,2026-01-07 07:00:00,7,0
2026_HARP14251_20260106_2200_20260107_0424,14251,2026-01-06 22:00:00,2026-01-07 04:24:00,5,0
2026_HARP14246_20260106_2212_20260107_0124,14246,2026-01-06 22:12:00,2026-01-07 01:24:00,3,0
2026_HARP14245_20260107_1036_20260107_1212,14245,2026-01-07 10:36:00,2026-01-07 12:12:00,2,0
2026_HARP14251_20260107_1112_20260107_1248,14251,2026-01-07 11:12:00,2026-01-07 12:48:00,2,0
2026_HARP14251_20260107_1948_20260108_0524,14251,2026-01-07 19:48:00,2026-01-08 05:24:00,7,0
2026_HARP14251_20260108_0912_20260109_0424,14251,2026-01-08 09:12:00,2026-01-09 04:24:00,13,0
2026_HARP14260_20260108_1900_20260109_0612,14260,2026-01-08 19:00:00,2026-01-09 06:12:00,8,0
2026_HARP14260_20260109_1000_20260109_1624,14260,2026-01-09 10:00:00,2026-01-09 16:24:00,5,0
2026_HARP14251_20260109_1124_20260110_0636,14251,2026-01-09 11:24:00,2026-01-10 06:36:00,13,0
2026_HARP14260_20260109_1936_20260110_0648,14260,2026-01-09 19:36:00,2026-01-10 06:48:00,8,0
2026_HARP14251_20260110_1024_20260111_0536,14251,2026-01-10 10:24:00,2026-01-11 05:36:00,13,0
2026_HARP14260_20260110_1036_20260111_0548,14260,2026-01-10 10:36:00,2026-01-11 05:48:00,13,0
2026_HARP14260_20260111_1112_20260112_0624,14260,2026-01-11 11:12:00,2026-01-12 06:24:00,13,0
2026_HARP14260_20260112_1036_20260113_0548,14260,2026-01-12 10:36:00,2026-01-13 05:48:00,13,0
2026_HARP14277_20260113_0312_20260113_0624,14277,2026-01-13 03:12:00,2026-01-13 06:24:00,3,0
2026_HARP14277_20260113_1036_20260114_0548,14277,2026-01-13 10:36:00,2026-01-14 05:48:00,13,0
2026_HARP14277_20260114_1000_20260115_0524,14277,2026-01-14 10:00:00,2026-01-15 05:24:00,12,0
2026_HARP14285_20260114_1448_20260115_0524,14285,2026-01-14 14:48:00,2026-01-15 05:24:00,9,0
2026_HARP14277_20260115_1112_20260116_0624,14277,2026-01-15 11:12:00,2026-01-16 06:24:00,13,0
2026_HARP14285_20260115_1112_20260116_0624,14285,2026-01-15 11:12:00,2026-01-16 06:24:00,13,0
2026_HARP14277_20260116_1036_20260117_0548,14277,2026-01-16 10:36:00,2026-01-17 05:48:00,13,0
2026_HARP14285_20260116_1036_20260117_0548,14285,2026-01-16 10:36:00,2026-01-17 05:48:00,13,0
2026_HARP14277_20260117_1000_20260117_1448,14277,2026-01-17 10:00:00,2026-01-17 14:48:00,4,0
2026_HARP14285_20260117_1000_20260117_1624,14285,2026-01-17 10:00:00,2026-01-17 16:24:00,5,0
